typ,id_jednostki,wojewodztwo,powiat,gmina,nazwa,kod_pocztowy,miejscowosc,ulica,numer_domu,telefon,www,email,godziny_pracy,teryt_gminy,latitude,longitude,geo_precyzja,uwagi
OPS,2897.0,małopolskie,nowotarski,Szaflary,Gminny Ośrodek Pomocy Społecznej w Szaflarach,34-424,Szaflary,ul. Zakopiańska,18,(18) 261-23-29,www.gops.szaflary.pl,gops@szaflary.pl,"pon.       8.00-17.00
wt.-czw. 8.00-16.00
pt.          8.00-15.00",1211152,49.4466,20.0373,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2898.0,małopolskie,nowotarski,Szczawnica,Miejsko Gminny Ośrodek Pomocy Społecznej w Szczawnicy,34-460,Szczawnica,ul. Szalaya,103,(18) 262-10-66,https://szczawnica.naszops.pl/,szczawnica@mgops.org,7.30-15.30,1211141,49.4248,20.4909,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2890.0,małopolskie,nowotarski,Łapsze Niżne,Gminny Ośrodek Pomocy Społecznej w Łapszach Niżnych,34-442,Łapsze Niżne,ul. Jana Pawła II,61,(18) 265-91-45,https://ops.lapszenizne.pl/,ops@lapszenizne.pl,"Poniedziałek, środa, czwartek, piątek*: 7:30 – 15:30
Wtorek: 8:30 – 16:30
* dzień wewnętrzny ",1211072,49.4077,20.2862,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2899.0,małopolskie,olkuski,Bolesław,Gminny Ośrodek Pomocy Społecznej w Bolesławiu (pow. olkuski),32-329,Bolesław,ul. Główna,46,(32) 642-40-34,,gops@gminaboleslaw.pl,Od poniedziałku do piątku w godzinach od 7:00 do 15:00.,1204022,50.2781,19.5506,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2900.0,małopolskie,olkuski,Bukowno,Miejski Ośrodek Pomocy Społecznej w Bukownie,32-332,Bukowno,ul. Wojska Polskiego,3,(32) 642-12-30,https://mopsbukowno.pl/,sekretariat@mopsbukowno.pl,7-15,1212031,50.2724,19.4534,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2902.0,małopolskie,olkuski,Olkusz,Ośrodek Pomocy Społecznej w Olkuszu,32-300,Olkusz,al. 1000-lecia,15C,(32) 641-32-12,,sekretariat@ops.olkusz.pl,czynny : poniedziałek :  od 7.00  do  17.00 wtorek - piątek : od 7.00  do 15.00  Kasa  czynna : poniedziałek - piątek  : od 10.00  do 13.00  Dyrektor w sprawie skarg i wniosków przyjmuje: od poniedziałku do piątku: od 8.00 do 15.00,1212011,50.2781,19.5691,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2905.0,małopolskie,oświęcimski,Brzeszcze,Ośrodek Pomocy Społecznej w Brzeszczach,32-620,Brzeszcze,ul. Mickiewicza,6,(32) 211-12-51,ops.brzeszcze.pl,sekretariat@ops.brzeszcze.pl,"poniedziałek, wtorek, czwartek 7-15 
środa 7-17
piątek 7-13 ",1213031,49.9797,19.1442,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2906.0,małopolskie,oświęcimski,Chełmek,Miejski Ośrodek Pomocy Społecznej w Chełmku,32-660,Chełmek,ul. Staicha,1,(33) 8461339,,mops@chelmek.pl,7:30 - 15:30,1213041,50.0748,19.2583,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2910.0,małopolskie,oświęcimski,Oświęcim,Ośrodek Pomocy Społecznej Gminy Oświęcim,32-600,Grojec,ul. Beskidzka,100,(33) 846-64-20,ops.gminaoswiecim.pl,ops@ops.gminaoswiecim.pl,"poniedziałek, środa, czwartek i piatek : 7.00-15.00,  wtorek : 7.00-17.00",1213011,50.0347,19.211,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2913.0,małopolskie,oświęcimski,Zator,Ośrodek Pomocy Społecznej w Zatorze,32-640,Zator,ul. Leszka Palimąki,2,(33) 841-22-17,www.opszator.pl,ops@zatorops.pl,"poniedziałek,środa, czwartek od 7.30 do 15.30
wtorek od 7.30 do 17.00
piątek od 7.30 do 14.00",1213091,49.9878,19.4422,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2917.0,małopolskie,proszowicki,Pałecznica,Gminny Ośrodek Pomocy Społecznej w Pałecznicy,32-109,Pałecznica,ul. św. Jakuba,11,(41) 384-82-34,gops.palecznica.pl,gops@palecznica.pl,7.30 - 15.30,1214052,50.2798,20.2259,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2918.0,małopolskie,proszowicki,Proszowice,Miejsko-Gminny Ośrodek Pomocy Społecznej w Proszowicach,32-100,Proszowice,ul. 3 Maja,72,(12) 386-22-12,www.mgops.proszowice.pl,mgops@proszowice.pl,poniedziałek - piątek: 7.30 - 15.30,1214011,50.1942,20.2828,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2919.0,małopolskie,proszowicki,Radziemice,Gminny Ośrodek Pomocy Społecznej w Radziemicach,32-107,Radziemice,,74,(12) 385-62-44,https://gops.radziemice.gmina.pl/,m.piatek@radziemice.gmina.pl,"7,30-15,30",1214062,50.2356,20.2139,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,5313.0,małopolskie,suski,Jordanów,Gminny Ośrodek Pomocy Społecznej w Jordanowie,34-240,Jordanów,ul. Rynek,39,(18) 267-53-69,www.gopsjordanow.pl,gops@gopsjordanow.pl,"Poniedziałek, Wtorek, Czwartek 7.30-15.30
Środa 7.30-16.30
Piątek 7.30-14.30",1215041,49.6459,19.8328,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2921.0,małopolskie,suski,Jordanów,Miejski Ośrodek Pomocy Społecznej w Jordanowie,34-240,Jordanów,ul. 3 Maja,2,"(18) 267-55-73, (18) 263-43-17",mops.jordanow.pl,mops@jordanow.pl,pon.-pt. od 7:30 do 15.30,1215041,49.6459,19.8328,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2924.0,małopolskie,suski,Sucha Beskidzka,Miejski Ośrodek Pomocy Społecznej w Suchej Beskidzkiej,34-200,Sucha Beskidzka,ul. Adama Mickiewicza,19,(33) 874-22-43,https://suchabeskidzka.naszops.pl/,mops@sucha-beskidzka.pl,PONIEDZIAŁEK- ŚRODA:  -  7:30 - 15:30  CZWARTEK:   -  9:00 - 17:00  PIĄTEK:  -  7:30 - 15:30,1215011,49.7432,19.594,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2926.0,małopolskie,suski,Zembrzyce,Gminny Ośrodek Pomocy Społecznej w Zembrzycach,34-210,Zembrzyce,,540,(33) 874-64-00,www.gopszembrzyce.pl,gops@gopszembrzyce.pl,"Poniedziałek, wtorek, czwartek: od 7:00 do 15:00
Środa: od 7:00 do 16:00
Piątek: od 7:00 do 14:00",1215082,49.7832,19.6249,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2927.0,małopolskie,tarnowski,Ciężkowice,Gminny Ośrodek Pomocy Społecznej w Ciężkowicach,33-190,Ciężkowice,ul. Tysiąclecia,19,(14) 6285841,https://samorzad.gov.pl/web/gops-ciezkowice,gops@ciezkowice.pl,"poniedziałek: od 7:00 do 16:00
wtorek - piątek od 7:00 do 15:00
piątek: dzień wewnętrzny  ",1216031,49.7945,21.0268,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2928.0,małopolskie,tarnowski,Gromnik,Gminny Ośrodek Pomocy Społecznej w Gromniku,33-180,Gromnik,ul. Krynicka,3,(14) 651-42-30,www.gopsgromnik.pl,gops@gromnik.pl,7.30 - 15.30,1216042,49.8375,20.9685,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2931.0,małopolskie,tarnowski,Radłów,Miejsko-Gminny Ośrodek Pomocy Społecznej w Radłowie,33-130,Radłów,ul. Brzeska,9,(14) 678-20-03,http://opsradlow.pl/,ops@gminaradlow.pl,od 7:30 do 15:30,1216071,50.0819,20.8588,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2934.0,małopolskie,tarnowski,Szerzyny,Gminny Ośrodek Pomocy Społecznej w Szerzynach,38-246,Szerzyny,,518,(14) 69 20 120,http://szerzyny.pl,gops@szerzyny.pl,"poniedziałek                  od 7:30- do 17:00
wtorek- czwartek           od 7:30- do 15:30
piątek                            od 7:30- do 14:00  ",1216112,49.7912,21.1541,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2935.0,małopolskie,tarnowski,Tuchów,Ośrodek Pomocy Społecznej w Tuchowie,33-170,Tuchów,ul. Jana Pawła II,4,14 6525489,https://ops.tuchow.pl/,sekretariat@ops.tuchow.pl,"Ośrodek Pomocy Społecznej - od poniedziałku do piątku w godzinach 7:00 - 15.30 
Świadczenia Rodzinne - od poniedziałku do piątku w godzinach 7:00 - 15:00",1216121,49.891,21.0524,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2937.0,małopolskie,tarnowski,Wietrzychowice,Gminny Ośrodek Pomocy Społecznej w Wietrzychowicach,33-270,Wietrzychowice,,19,(14) 641-81-50,www.wietrzychowice.pl,gops@wietrzychowice.pl,pn 8:00-16:00; wt-pt 7:30-15:30,1216132,50.1188,20.8321,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2938.0,małopolskie,tarnowski,Wojnicz,Gminny Ośrodek Pomocy Społecznej w Wojniczu,32-830,Wojnicz,ul. Krzywa,16,(14) 679-00-30,www.gops.wojnicz.pl,gops@wojnicz.pl,Od poniedziałku do piątku w godzinach od 7:30 do 15:30,1216142,49.9882,20.8418,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2939.0,małopolskie,tarnowski,Zakliczyn,Miejski Ośrodek Pomocy Społecznej w Zakliczynie,32-840,Zakliczyn,rynek Rynek,15,(14) 665-22-75,https://mopszakliczyn.pl/,mops@mopszakliczyn.pl,7.30-15.30,1216151,49.8533,20.8077,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2940.0,małopolskie,tarnowski,Żabno,Ośrodek Pomocy Społecznej w Żabnie,33-240,Żabno,ul. Świętego Jana,-,14 645 64 33,ops.zabno.pl,ops@zabno.pl,"Poniedziałek 7:30 - 16.00
Wtorek - Czwartek 7.30 - 15.30
Piątek 7.30 - 15.00",1216161,50.1366,20.8676,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2941.0,małopolskie,tatrzański,Biały Dunajec,Gminny Ośrodek Pomocy Społecznej w Białym Dunajcu,34-425,Biały Dunajec,ul. Jana Pawła II,312,(18) 207-95-12,,gops@bialydunajec.com.pl,7.30-15.30,1217022,49.4268,20.0633,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2942.0,małopolskie,tatrzański,Bukowina Tatrzańska,Ośrodek Pomocy Społecznej w Bukowinie Tatrzańskiej,34-530,Bukowina Tatrzańska,ul. Długa,144,(18) 207-71-10,https://www.bukowinatatrzanska.naszops.pl/,poczta@opsbukowinatatrzanska.pl,"Poniedziałek : 9 00 - 17 00, Wtorek- piątek: 7 30- 15 30",1217032,49.3652,20.1127,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2943.0,małopolskie,tatrzański,Kościelisko,Ośrodek Pomocy Społecznej w Kościelisku,34-511,Kościelisko,ul. Nędzy-Kubińca,101,(18) 20 234 00,www.koscielisko.naszops.pl,gops@gminakoscielisko.pl,poniedziałek 7:45 - 16:45 od wtorku do piątku 7:45 - 15:30,1217042,49.3268,19.9074,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,4473.0,małopolskie,tatrzański,Poronin,Ośrodek Pomocy Społecznej w Poroninie,34-520,Poronin,ul. Józefa Piłsudskiego,15,(18) 207-40-05,www.ops.poronin.pl,ops.poronin@pro.onet.pl,poniedziałek - piątek: 7.30-15.30,1217052,49.3545,20.0427,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2945.0,małopolskie,wadowicki,Andrychów,Ośrodek Pomocy Społecznej w Andrychowie,34-120,Andrychów,ul. Starowiejska,22b,(33) 875-33-00,www.opsandrychow.pl,ops@opsandrychow.pl,"poniedziałek, wtorek, środa, piątek: 7.00-15.00
czwartek: 7.00-17.00",1218021,49.8552,19.3393,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2947.0,małopolskie,wadowicki,Kalwaria Zebrzydowska,Miejsko-Gminny Ośrodek Pomocy Społecznej w Kalwarii Zebrzydowskiej,34-130,Kalwaria Zebrzydowska,al. Aleja Jana Pawła II,7,(33) 876-47-65,mgopskalwariaz.com.pl,biuro@mgopskalwariaz.com.pl,"poniedziałek oraz od środy do piątku w godz. od 7:30 do 15:30
wtorek od 7:30 do 18:00",1218041,49.8765,19.6745,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2949.0,małopolskie,wadowicki,Mucharz,Gminny Ośrodek Pomocy Społecznej w Mucharzu,34-106,Mucharz,,226,(33) 876-16-12,mucharz.naszops.pl,gops@mucharz.pl,"Godziny pracy w Gminnym Ośrodku Pomocy Społecznej w Mucharzu:
poniedziałek, środa, czwartek 7:00 - 15:00
wtorek 7:00 - 17:00
piątek 7:00 - 13:00
Godziny pracy opiekuna w Gminnym Ośrodku Pomocy Społecznej w Mucharzu:
poniedziałek 7:00 - 15:00
wtorek 7:00 - 15:00
środa 7:00 - 15:00
czwartek 7:00 - 15:00
piątek 7:00 - 15:00",1218062,49.8621,19.5699,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2951.0,małopolskie,wadowicki,Stryszów,Gminny Ośrodek Pomocy Społecznej w Stryszowie,34-146,Stryszów,,557,(33) 879-71-50,www.gopsstryszow.pl,sekretariat@gopsstryszow.pl,7:30 - 15:30,1218082,49.8841,19.5596,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2953.0,małopolskie,wadowicki,Wadowice,Miejski Ośrodek Pomocy Społecznej w Wadowicach,34-100,Wadowice,ul. Emilii i Karola Wojtyłów,4,(33) 823-28-18,www.mops.wadowice.pl,mops@wadowice.pl,Poniedziałek od 7:00 do 17:00 Wtorek - Piątek od 7:00 do 15:00,1218011,49.8836,19.4966,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2954.0,małopolskie,wadowicki,Wieprz,Gminny Ośrodek Pomocy Społecznej w Wieprzu,34-122,Wieprz,ul. Wadowicka,4,(33) 875-54-15,www.gopswieprz.pl,gops@gopswieprz.pl,poniedziałek 7.00-15.00 wtorek 7.00-16.00 środa 7.00-15.00 czwartek7.00-15.00 piatek7.00-14.00,1218102,49.9289,19.4181,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,14156.0,małopolskie,wielicki,Biskupice,Gminny Ośrodek Pomocy Społecznej w Biskupicach z siedzibą w Trąbkach,32-020,Trąbki,,340,122506511,gopsbiskupice.pl,ops@gopsbiskupice.pl,"pn  09-17
wt-czw  07.30-15.30
pt 07.30-14.30",1219022,49.9897,20.2543,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2957.0,małopolskie,wielicki,Kłaj,Gminny Ośrodek Pomocy Społecznej w Kłaju,32-015,Kłaj,,652,(12) 284-15-66,gopsklaj.pl,biuro@gopsklaj.pl,Poniedziałek od 8:30 - 16:30 Wtorek od 7:00 - 15;00  Środa od 7:00 - 15;00  Czwartek od 7:00 - 15;00  Piątek od 7:00 - 15;00,1219042,50.004,20.1494,miejscowosc,źródło: RJPS eksport 06.03.2026
PCPR,265.0,małopolskie,Kraków,Kraków-Krowodrza,Powiatowe Centrum Pomocy Rodzinie w Krakowie,30-037,Kraków-Krowodrza,al. Aleja Juliusza Słowackiego,20,(12) 39-79-004,www.pcpr.powiat.krakow.pl,pcpr@powiat.krakow.pl,"'prowadzenie i zapewnienie miejsc w mieszkaniach chronionych','prowadzenie mieszkań chronionych dla osób z terenu więcej niż jednej gminy oraz powiatowych ośrodków wsparcia, w tym domów dla matek z małoletnimi dziećmi i kobiet w ciąży','prowadzenie ośrodków interwencji kryzysowej','pomoc cudzoziemcom, którzy uzyskali w Rzeczypospolitej Polskiej status uchodźcy lub ochronę uzupełniającą, w zakresie indywidualnego programu integracji, oraz opłacanie za te osoby składek na ubezpieczenie zdrowotne','prowadzenie i rozwój infrastruktury ośrodków wsparcia dla osób z zaburzeniami psychicznymi','pomoc socjalna','prowadzenie i rozwój infrastruktury środowiskowych domów samopomocy dla osób z zaburzeniami psychicznymi','poradnictwo specjalistyczne','pomoc w integracji ze środowiskiem osób mających trudności w przystosowaniu się do życia, młodzieży opuszczającej niektóre typy placówek','przyznawanie pomocy pieniężnej na usamodzielnienie oraz na kontynuowanie nauki osobom opuszczającym niektóre typy placówek','udzielanie cudzoziemcom, o których mowa w art. 5a, pomocy w zakresie interwencji kryzysowej','udzielanie informacji o prawach i uprawnieniach','opłacanie składek na ubezpieczenie zdrowotne określonych w przepisach o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych'",1261011,50.0747,19.9194,dzielnica,źródło: RJPS eksport 06.03.2026
PCPR,269.0,małopolskie,Nowy Sącz,Nowy Sącz,Powiatowe Centrum Pomocy Rodzinie w Nowym Sączu,33-300,Nowy Sącz,ul. Jana Kilińskiego,72a,"(18) 447-79-11, (18) 443-82-51, (18) 443-75-91",www.pcpr-ns.pl,sekretariat@pcpr-ns.pl,"'prowadzenie i zapewnienie miejsc w domach pomocy społecznej i ośrodkach wsparcia o zasięgu gminnym oraz kierowanie do nich osób wymagających opieki','prowadzenie i zapewnienie miejsc w mieszkaniach chronionych','pomoc socjalna','poradnictwo specjalistyczne','pomoc w integracji ze środowiskiem osób mających trudności w przystosowaniu się do życia, młodzieży opuszczającej niektóre typy placówek','prowadzenie i rozwój infrastruktury środowiskowych domów samopomocy dla osób z zaburzeniami psychicznymi','prowadzenie i rozwój infrastruktury ośrodków wsparcia dla osób z zaburzeniami psychicznymi','przyznawanie pomocy pieniężnej na usamodzielnienie oraz na kontynuowanie nauki osobom opuszczającym niektóre typy placówek','udzielanie cudzoziemcom, o których mowa w art. 5a, pomocy w zakresie interwencji kryzysowej','udzielanie informacji o prawach i uprawnieniach','pomoc pedagoga','pomoc prawna','pomoc psychologa','prowadzenie ośrodków interwencji kryzysowej'",1262011,49.6243,20.6921,miejscowosc,źródło: RJPS eksport 06.03.2026
PCPR,275.0,małopolskie,Tarnów,Tarnów,Powiatowe Centrum Pomocy Rodzinie w Tarnowie,33-100,Tarnów,ul. Urszulańska,19,(14) 621-56-83,www.pcprtarnow.pl,pcpr@powiat.tarnow.pl,"'poradnictwo specjalistyczne','pomoc w integracji ze środowiskiem osób mających trudności w przystosowaniu się do życia, młodzieży opuszczającej niektóre typy placówek','prowadzenie i rozwój infrastruktury ośrodków wsparcia dla osób z zaburzeniami psychicznymi','przyznawanie pomocy pieniężnej na usamodzielnienie oraz na kontynuowanie nauki osobom opuszczającym niektóre typy placówek','udzielanie informacji o prawach i uprawnieniach','pomoc pedagoga','pomoc prawna','pomoc psychologa','pomoc socjalna','działalność na rzecz ochrony rodziny','poradnictwo socjalne','prowadzenie ośrodków interwencji kryzysowej','sporządzanie oceny zasobów pomocy społecznej, na podstawie ocen sporządzonych przez gminy i powiaty z obszaru województwa, uwzględniającej kwestie i problemy społeczne wynikające z przyjętej strategii i przekazywanie jej właściwym organom','udzielanie informacji o możliwościach uzyskania pomocy','upowszechnianie i ochrona praw dziecka','wolontariat','grupy wsparcia','motywowanie do podejmowania leczenia','ochrona i promocja zdrowia','organizacja imprez','organizacja spotkań tematycznych i imprez okolicznościowych','organizacja szkoleń, konferencji, seminariów','organizacja wolontariatu','prowadzenie spraw związanych z wydawaniem dla osób niepełnosprawnych oraz dla placówek zajmujących się opieką, rehabilitacją lub edukacją osób niepełnosprawnych, pozostających pod opieką tych placówek kart parkingowych, o których mowa w przepisach o ruchu drogowym','rehabilitacja społeczna osób niepełnosprawnych','sporządzanie sprawozdawczości oraz przekazywanie jej właściwemu wojewodzie','umożliwienie udziału w terapii zajęciowej','poradnictwo inne','poradnictwo specjalistyczne rodzinne','przeciwdziałanie patologiom społecznym','przekazywanie informacji o koniecznych do zrealizowania działaniach w celu zaprzestania stosowania przemocy w rodzinie','przekazywanie informacji o konsekwencjach popełnianych czynów','realizacja zadań samorządu województwa, o których mowa w ustawie o przeciwdziałaniu przemocy w rodzinie','terapia indywidualna ukierunkowana na wsparcie ofiary przemocy w rodzinie oraz nabycie umiejętności ochrony przed osobą stosującą przemoc w rodzinie','udzielanie informacji o formach pomocy dzieciom','grupy samopomocowe','zajęcia i warsztaty edukacyjne','zapewnienie potrzeb bytowych (całodobowego, okresowego pobytu)','zapewnienie schronienia','inicjowanie działań w stosunku do osób stosujących przemoc','interwencyjne - izolowanie osób ubiegających się o pomoc przed sprawcami przemocy','interwencyjne - rozpoznanie sytuacji ofiary przemocy w rodzinie i ocena ryzyka w zakresie zagrożenia bezpieczeństwa','interwencyjne - wspieranie w przezwyciężaniu sytuacji kryzysowej','interwencyjne - zapewnienie schronienia kobietom w ciąży w okresie okołoporodowym','interwencyjne - zapewnienie schronienia ofierze przemocy w rodzinie oraz dzieciom pozostającym pod jej opieką','oddziaływania korekcyjno-edukacyjne wobec osób stosujących przemoc w rodzinie','podejmowanie interwencji w środowisku problemowym','aktywizacja kulturalna','sporządzanie sprawozdań rzeczowo-finansowych dla Państwowego Funduszu Osób Niepełnosprawnych','sporządzanie sprawozdawczości oraz przekazywanie jej ministrowi właściwemu do spraw zabezpieczenia społecznego','współpraca z organizacjami pozarządowymi i fundacjami działającymi na rzecz osób niepełnosprawnych','informacja o dostępnych formach wsparcia i rehabilitacji','obsługa wniosków z zakresu rehabilitacji społecznej i przygotowanie wszelkiej dokumentacji umożliwiającej dofinansowanie potrzeb osób niepełnosprawnych w zakresie: turnusów rehabilitacyjnych, sprzętu rehabilitacyjnego, ortopedycznego i pomocniczego, likwidacji barier architektonicznych oraz sportu, kultury, rekreacji oraz rehabilitacji dzieci i młodzieży i kosztów tworzenia i działalności warsztatów terapii zajęciowej oraz rozliczenie dofinansowania'",1263011,50.0121,20.9858,miejscowosc,źródło: RJPS eksport 06.03.2026
PCPR,260.0,małopolskie,bocheński,Bochnia,Powiatowe Centrum Pomocy Rodzinie w Bochni,32-700,Bochnia,ul. Edwarda Windakiewicza,9,(14) 611-97-40,pcpr.bochnia.pl,pcpr@powiatbochenski.pl,"'poradnictwo specjalistyczne','pomoc socjalna','prowadzenie i rozwój infrastruktury środowiskowych domów samopomocy dla osób z zaburzeniami psychicznymi','prowadzenie i zapewnienie miejsc w domach pomocy społecznej i ośrodkach wsparcia o zasięgu gminnym oraz kierowanie do nich osób wymagających opieki','prowadzenie i zapewnienie miejsc w mieszkaniach chronionych','przyznawanie pomocy pieniężnej na usamodzielnienie oraz na kontynuowanie nauki osobom opuszczającym niektóre typy placówek','udzielanie informacji o prawach i uprawnieniach','prowadzenie i rozwój infrastruktury domów pomocy społecznej o zasięgu ponadgminnym oraz umieszczanie w nich skierowanych osób','prowadzenie i rozwój infrastruktury ośrodków wsparcia dla osób z zaburzeniami psychicznymi','przekazywanie informacji o koniecznych do zrealizowania działaniach w celu zaprzestania stosowania przemocy w rodzinie','przyjmowanie i rozpatrywanie skarg, wniosków i zażaleń','rehabilitacja społeczna osób niepełnosprawnych','sporządzanie oceny zasobów pomocy społecznej, na podstawie ocen sporządzonych przez gminy i powiaty z obszaru województwa, uwzględniającej kwestie i problemy społeczne wynikające z przyjętej strategii i przekazywanie jej właściwym organom','sporządzanie sprawozdań rzeczowo-finansowych dla Państwowego Funduszu Osób Niepełnosprawnych','sporządzanie sprawozdawczości oraz przekazywanie jej właściwemu wojewodzie','udzielanie informacji o formach pomocy dzieciom','udzielanie informacji o możliwościach uzyskania pomocy','współpraca z organizacjami pozarządowymi i fundacjami działającymi na rzecz osób niepełnosprawnych','grupy wsparcia','kierowanie do domu pomocy społecznej i ponoszenie odpłatności za pobyt mieszkańca gminy w tym domu','nadzór nad działalnością warsztatów terapii zajęciowej','obsługa wniosków z zakresu rehabilitacji społecznej i przygotowanie wszelkiej dokumentacji umożliwiającej dofinansowanie potrzeb osób niepełnosprawnych w zakresie: turnusów rehabilitacyjnych, sprzętu rehabilitacyjnego, ortopedycznego i pomocniczego, likwidacji barier architektonicznych oraz sportu, kultury, rekreacji oraz rehabilitacji dzieci i młodzieży i kosztów tworzenia i działalności warsztatów terapii zajęciowej oraz rozliczenie dofinansowania','obsługa zleconych funduszy z zakresu rehabilitacji społecznej'",1201011,49.9698,20.4316,miejscowosc,źródło: RJPS eksport 06.03.2026
PCPR,261.0,małopolskie,brzeski,Brzesko,Powiatowe Centrum Pomocy Rodzinie w Brzesku,32-800,Brzesko,ul. Piastowska,2B,(14) 663-00-31,www.pcprbrzesko.pl,pcpr@pcprbrzesko.pl,"'prowadzenie i zapewnienie miejsc w mieszkaniach chronionych','poradnictwo specjalistyczne','pomoc socjalna','pomoc w integracji ze środowiskiem osób mających trudności w przystosowaniu się do życia, młodzieży opuszczającej niektóre typy placówek','pomoc cudzoziemcom, którzy uzyskali w Rzeczypospolitej Polskiej status uchodźcy lub ochronę uzupełniającą, w zakresie indywidualnego programu integracji, oraz opłacanie za te osoby składek na ubezpieczenie zdrowotne','prowadzenie i rozwój infrastruktury środowiskowych domów samopomocy dla osób z zaburzeniami psychicznymi','przyznawanie pomocy pieniężnej na usamodzielnienie oraz na kontynuowanie nauki osobom opuszczającym niektóre typy placówek','udzielanie cudzoziemcom, o których mowa w art. 5a, pomocy w zakresie interwencji kryzysowej','udzielanie informacji o prawach i uprawnieniach'",1202011,49.9753,20.6164,miejscowosc,źródło: RJPS eksport 06.03.2026
PCPR,263.0,małopolskie,dąbrowski,Dąbrowa Tarnowska,Powiatowe Centrum Pomocy Rodzinie w Dąbrowie Tarnowskiej,33-200,Dąbrowa Tarnowska,ul. Szpitalna,1,(14) 642-44-15,www.pcprdt.pl,pcpr@pcprdt.pl,"'prowadzenie i zapewnienie miejsc w mieszkaniach chronionych','prowadzenie mieszkań chronionych dla osób z terenu więcej niż jednej gminy oraz powiatowych ośrodków wsparcia, w tym domów dla matek z małoletnimi dziećmi i kobiet w ciąży','prowadzenie ośrodków interwencji kryzysowej','pomoc cudzoziemcom, którzy uzyskali w Rzeczypospolitej Polskiej status uchodźcy lub ochronę uzupełniającą, w zakresie indywidualnego programu integracji, oraz opłacanie za te osoby składek na ubezpieczenie zdrowotne','prowadzenie i rozwój infrastruktury ośrodków wsparcia dla osób z zaburzeniami psychicznymi','pomoc socjalna','pomoc w integracji ze środowiskiem osób mających trudności w przystosowaniu się do życia, młodzieży opuszczającej niektóre typy placówek','poradnictwo specjalistyczne','przyznawanie pomocy pieniężnej na usamodzielnienie oraz na kontynuowanie nauki osobom opuszczającym niektóre typy placówek','udzielanie informacji o prawach i uprawnieniach','kierowanie do domu pomocy społecznej i ponoszenie odpłatności za pobyt mieszkańca gminy w tym domu'",1204011,50.1729,20.9944,miejscowosc,źródło: RJPS eksport 06.03.2026
