typ,wojewodztwo,powiat,gmina,nazwa,kod_pocztowy,miejscowosc,adres,telefon,email
MOPS,śląskie,wodzisławski,Wodzisław Śląski,Miejski Ośrodek Pomocy Społecznej w Wodzisławiu Śląskim,44-300,Wodzisław Śląski,ul. Ignacego Daszyńskiego 3,(32) 459-06-50,kancelaria@mops.wodzislaw-slaski.pl
MOPS,śląskie,Zabrze,Zabrze,Miejski Ośrodek Pomocy Rodzinie w Zabrzu,41-800,Zabrze,ul. 3 Maja 16,(32) 277-78-00,mopr@zabrze.pol.pl
GOPS,śląskie,zawierciański,Irządze,Gminny Ośrodek Pomocy Społecznej w Irządzach,42-446,Irządze,127a,(34) 354-31-92,gops@irzadze.pl
GOPS,śląskie,zawierciański,Kroczyce,Gminny Ośrodek Pomocy Społecznej w Kroczycach,42-425,Kroczyce,ul. Kościuszki 29,(34) 333-74-33,gops@kroczyce.pl
GOPS,śląskie,zawierciański,Łazy,Ośrodek Pomocy Społecznej w Łazach,42-450,Łazy,ul. Pocztowa 14,(32) 672-95-71,pomoc@opslazy.pl
GOPS,śląskie,zawierciański,Ogrodzieniec,Ośrodek Pomocy Społecznej w Ogrodzieńcu,42-440,Ogrodzieniec,pl. Plac Wolności 42,(32) 673-35-26,ops@ogrodzieniec.pl
GOPS,śląskie,zawierciański,Pilica,Ośrodek Pomocy Społecznej w Pilicy,42-436,Pilica,ul. Senatorska 3,(32) 671-61-26,ops@opspilica.pl
MOPS,śląskie,zawierciański,Poręba,Miejski Ośrodek Pomocy Społecznej w Porębie,42-480,Poręba,ul. Fryderyka Chopina 1,(32) 677-20-33,mopsporeba@poczta.fm
GOPS,śląskie,zawierciański,Szczekociny Miejsko,Gminny Ośrodek Pomocy Społecznej w Szczekocinach,42-445,Szczekociny,ul. Przemysłowa 2,(34) 355-70-13,ops@szczekociny.pl
GOPS,śląskie,zawierciański,Włodowice,Gminny Ośrodek Pomocy Społecznej we Włodowicach,42-421,Włodowice,ul. Krakowska 26,(34) 315-30-49,gops@gopswlodowice.pl
MOPS,śląskie,zawierciański,Zawiercie,Miejski Ośrodek Pomocy Społecznej w Zawierciu,42-400,Zawiercie,ul. Józefa Piłsudskiego 47,(32) 672-21-34,mops@mopszawiercie.pl
GOPS,śląskie,zawierciański,Żarnowiec,Ośrodek Pomocy Społecznej w Żarnowcu,42-439,Żarnowiec,ul. Krakowska 34,(32) 644-93-20,biuro@ops.zarnowiec.pl
MOPS,śląskie,Żory,Żory,Miejski Ośrodek Pomocy Społecznej w Żorach,44-240,Żory,ul. Księcia Przemysława 2,(32) 434-24-12,mops@mops.zory.pl
GOPS,śląskie,żywiecki,Czernichów,Gminny Ośrodek Pomocy Społecznej w Czernichowie,34-311,Czernichów,ul. Strażacka 6,(33) 866-13-38,sekretariat@gops.czernichow.com.pl
GOPS,śląskie,żywiecki,Gilowice,Gminny Ośrodek Pomocy Społecznej w Gilowicach,34-322,Gilowice,ul. Strażacka 2,(33) 865-35-56,gops@gilowice.pl
GOPS,śląskie,żywiecki,Jeleśnia,Gminny Ośrodek Pomocy Społecznej w Jeleśni,34-340,Jeleśnia,ul. Plebańska 5,(33) 861-95-75,sekretariat@gopsjelesnia.eu
GOPS,śląskie,żywiecki,Koszarawa,Gminny Ośrodek Pomocy Społecznej w Koszarawie,34-332,Koszarawa,17,(33) 863-94-13,gops.koszarawa@vp.pl
GOPS,śląskie,żywiecki,Lipowa,Gminny Ośrodek Pomocy Społecznej w Lipowej,34-324,Lipowa,,(33) 867-13-29,gops@lipowa.pl
GOPS,śląskie,żywiecki,Łękawica,Gminny Ośrodek Pomocy Społecznej w Łękawicy,34-321,Łękawica,ul. Żywiecka 52,(33) 862-25-77,gops@lekawica.com.pl
GOPS,śląskie,żywiecki,Łodygowice,Gminny Ośrodek Pomocy Społecznej w Łodygowicach,34-325,Łodygowice,ul. Królowej Jadwigi 6,(33) 863-19-09,kierownik@gopslodygowice.pl
GOPS,śląskie,żywiecki,Milówka,Gminny Ośrodek Pomocy Społecznej w Milówce,34-360,Milówka,ul. Jana Kazimierza,(33) 863-77-67,gopsmil@op.pl
GOPS,śląskie,żywiecki,Radziechowy-Wieprz,Gminny Ośrodek Pomocy Społecznej Radziechowy-Wieprz,34-381,Wieprz,,(33) 867-66-15,gops@radziechowy-wieprz.pl
GOPS,śląskie,żywiecki,Rajcza,Gminny Ośrodek Pomocy Społecznej w Rajczy,34-370,Rajcza,ul. Górska 1,(33) 864-33-96,gops@rajcza.com.pl
GOPS,śląskie,żywiecki,Ślemień,Gminny Ośrodek Pomocy Społecznej w Ślemieniu,34-323,Las,ul. Zakopiańska 59,(33) 865-46-47,gops_slemien@wp.pl
GOPS,śląskie,żywiecki,Świnna,Gminny Ośrodek Pomocy Społecznej w Świnnej,34-331,Pewel Mała,ul. Jana Pawła II 68,(33) 863-80-03,gops@swinna.pl
GOPS,śląskie,żywiecki,Ujsoły,Gminny Ośrodek Pomocy Społecznej w Ujsołach,34-371,Ujsoły,ul. Gminna 1,(33) 864-73-50,gops@ujsoly.com.pl
GOPS,śląskie,żywiecki,Węgierska Górka,Gminny Ośrodek Pomocy Społecznej w Węgierskiej Górce,34-350,Węgierska Górka,ul. Zielona 43,(33) 860-97-79,gopswg@tenit.com.pl
MOPS,śląskie,żywiecki,Żywiec,Miejski Ośrodek Pomocy Społecznej w Żywcu,34-300,Żywiec,ul. Zamkowa 10,(33) 475-70-00,do@mops-zywiec.pl
